recent_activity,people_interacted_with,ongoing_task,past_searches,current_environment,potential_search
Talking about movies,Friend,Writing a blog post,"Cillian Murphy, 2023 movies",Coffee shop,Oppenheimer
Shopping for winter clothes,Partner,Packing for a vacation,"Best winter jackets, waterproof boots",Bedroom,Patagonia Jacket
Planning a trip to Japan,Family,Creating a travel itinerary,"Famous temples in Kyoto, sushi restaurants",Kitchen,Fushimi Inari Shrine
Discussing holiday plans,Co-worker,Organizing holiday party,"National holidays 2023, best gifts for coworkers",Office,Thanksgiving Date
Cooking a new dish,Roommate,Finding ingredients,"Spanish translation for cumin, best Mexican recipes",Grocery store,Comino (Cumin)
Browsing new books online,Friend,Ordering a new book,"Best sellers 2023, mystery novels",Library,The Silent Patient (Book)
Learning about houseplants,Neighbor,Watering my indoor plants,"Low-maintenance houseplants, snake plant care",Living room,Snake Plant Care Guide
Talking about weekend plans,Partner,Booking a weekend getaway,"Top weekend destinations near me, affordable hotels",Cafe,Weekend Getaways Near Me
Watching a cooking show,Sibling,Preparing a new recipe,"Best pasta recipes, Italian cooking tips",Kitchen,Pasta Carbonara Recipe
Looking for workout routines,Gym trainer,Trying out a new fitness regime,"Beginner workout plans, best fitness apps",Gym,Full Body Workout Routine
Reading about historical figures,Colleague,Writing a research paper,"Biography of Abraham Lincoln, influential figures in history",Office,Abraham Lincoln Biography
Planning a road trip,Best friend,Mapping out driving routes,"Scenic drives near me, road trip essentials",Car,Scenic Road Trip Routes
Discussing pet care,Pet owner,Looking for a pet sitter,"Healthy dog food, how to bathe a cat",Backyard,Best Dog Food Brands
Searching for new restaurants,Coworker,Making a reservation for dinner,"Top-rated restaurants near me, best brunch spots",Downtown,Best Brunch Spots Downtown
Talking about home renovations,Spouse,Choosing new paint colors,"Home renovation ideas, modern kitchen designs",Home office,Modern Kitchen Remodel Ideas
Watching a documentary on marine life,Sibling,Researching marine species,"Deep-sea creatures, coral reef facts",Living room,Great Barrier Reef Facts
Talking about space exploration,Colleague,Learning about the latest Mars mission,"SpaceX mission updates, Mars landing",Office,Mars Mission 2023
